"","KSDistance","rSigmaMean","rIntSEMod","rSigmaSD","scn"
"5035",0.4372,0.46,4,0.22,"Low"
"5115",0.5885,0.46,5.5,0.22,"Low"
"5195",0.4315,0.46,7,0.22,"Low"
"5275",0.1001,0.575,1,0.22,"Low"
"5355",0.2032,0.575,2.5,0.22,"Low"
"5435",0.6885,0.575,4,0.22,"Low"
"5515",0.3985,0.575,5.5,0.22,"Low"
"5595",0.8467,0.575,7,0.22,"Low"
"5675",0.6134,0.69,1,0.22,"Low"
"5755",0.5965,0.69,2.5,0.22,"Low"
"5835",0.7073,0.69,4,0.22,"Low"
"5915",0.2557,0.69,5.5,0.22,"Low"
"5995",0.346,0.69,7,0.22,"Low"
"6075",0.1419,0.23,1,0.26,"Low"
"6155",0.2171,0.23,2.5,0.26,"Low"
"6235",0.427,0.23,4,0.26,"Low"
"6315",0.453,0.23,5.5,0.26,"Low"
"6395",0.5261,0.23,7,0.26,"Low"
"6475",0.0533,0.345,1,0.26,"Low"
"6555",0.2111,0.345,2.5,0.26,"Low"
"6635",0.217,0.345,4,0.26,"Low"
"6715",0.4002,0.345,5.5,0.26,"Low"
"6795",0.3441,0.345,7,0.26,"Low"
"6875",0.3939,0.46,1,0.26,"Low"
"6955",0.7743,0.46,2.5,0.26,"Low"
"7035",0.1523,0.46,4,0.26,"Low"
"7115",0.6215,0.46,5.5,0.26,"Low"
"7195",0.3023,0.46,7,0.26,"Low"
"7275",0.3743,0.575,1,0.26,"Low"
"7355",0.6766,0.575,2.5,0.26,"Low"
"7435",0.5915,0.575,4,0.26,"Low"
"7515",0.5933,0.575,5.5,0.26,"Low"
"7595",0.3177,0.575,7,0.26,"Low"
"7675",0.0747,0.69,1,0.26,"Low"
"7755",0.2765,0.69,2.5,0.26,"Low"
"7835",0.8076,0.69,4,0.26,"Low"
"7915",0.6636,0.69,5.5,0.26,"Low"
"7995",0.4664,0.69,7,0.26,"Low"
"752",0.628,0.23,1,0.14,"High"
"1552",0.5904,0.23,2.5,0.14,"High"
"2352",0.8723,0.23,4,0.14,"High"
"3152",0.3648,0.23,5.5,0.14,"High"
"3952",0.5987,0.23,7,0.14,"High"
"4752",0.9698,0.345,1,0.14,"High"
"5552",0.258,0.345,2.5,0.14,"High"
"6352",0.2766,0.345,4,0.14,"High"
"7152",0.2601,0.345,5.5,0.14,"High"
"7952",0.3609,0.345,7,0.14,"High"
"8752",0.8448,0.46,1,0.14,"High"
"9552",0.4062,0.46,2.5,0.14,"High"
"10351",0.3286,0.46,4,0.14,"High"
"11151",0.6228,0.46,5.5,0.14,"High"
"11951",0.7285,0.46,7,0.14,"High"
"12751",0.4591,0.575,1,0.14,"High"
"13551",0.5536,0.575,2.5,0.14,"High"
"14351",0.1882,0.575,4,0.14,"High"
"15151",0.3335,0.575,5.5,0.14,"High"
"15951",0.5434,0.575,7,0.14,"High"
"16751",0.1923,0.69,1,0.14,"High"
"17551",0.447,0.69,2.5,0.14,"High"
"18351",0.2977,0.69,4,0.14,"High"
"19151",0.4764,0.69,5.5,0.14,"High"
"19951",0.4712,0.69,7,0.14,"High"
"20751",0.2828,0.23,1,0.18,"High"
"21551",0.4554,0.23,2.5,0.18,"High"
"22351",0.2172,0.23,4,0.18,"High"
"23151",0.3075,0.23,5.5,0.18,"High"
"23951",0.2568,0.23,7,0.18,"High"
"24751",0.9422,0.345,1,0.18,"High"
"25551",0.3397,0.345,2.5,0.18,"High"
"26351",0.529,0.345,4,0.18,"High"
"27151",0.4688,0.345,5.5,0.18,"High"
"27951",0.5028,0.345,7,0.18,"High"
"28751",0.9757,0.46,1,0.18,"High"
"29551",0.3501,0.46,2.5,0.18,"High"
"30351",0.4687,0.46,4,0.18,"High"
"31151",0.4592,0.46,5.5,0.18,"High"
"31951",0.5261,0.46,7,0.18,"High"
"32751",0.1806,0.575,1,0.18,"High"
"33551",0.1918,0.575,2.5,0.18,"High"
"34351",0.4001,0.575,4,0.18,"High"
"35151",0.7091,0.575,5.5,0.18,"High"
"35951",0.8363,0.575,7,0.18,"High"
"36751",0.3797,0.69,1,0.18,"High"
"37551",0.4229,0.69,2.5,0.18,"High"
"38351",0.5218,0.69,4,0.18,"High"
"39151",0.31,0.69,5.5,0.18,"High"
"39951",0.4465,0.69,7,0.18,"High"
"40751",0.347,0.23,1,0.22,"High"
"41551",0.7889,0.23,2.5,0.22,"High"
"42351",0.9754,0.23,4,0.22,"High"
"43151",0.8713,0.23,5.5,0.22,"High"
"43951",0.2843,0.23,7,0.22,"High"
"44751",0.5559,0.345,1,0.22,"High"
"45551",0.4176,0.345,2.5,0.22,"High"
"46351",0.3739,0.345,4,0.22,"High"
"47151",0.255,0.345,5.5,0.22,"High"
"47951",0.2045,0.345,7,0.22,"High"
"48751",0.9124,0.46,1,0.22,"High"
"49551",0.2411,0.46,2.5,0.22,"High"
