"obsYears","collarCount","cowMult","collarInterval","assessmentYrs","tA","obsAnthroSlope","projAnthroSlope","rep","interannualVar","sQuantile","rQuantile","preYears","iAnthro","projYears","repBatch","N0","qMax","uMax","zMax","pageLab","pageId"
8,60,6,1,1,20,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.786479710279964,0.200403076941147,16,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,20,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.786479710279964,0.200403076941147,8,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,20,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.786479710279964,0.200403076941147,0,-3,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,40,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.119486000374891,0.225701795024797,22,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,40,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.119486000374891,0.225701795024797,20,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,20,6,1,1,40,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.119486000374891,0.225701795024797,16,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,20,6,1,1,40,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.119486000374891,0.225701795024797,8,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,20,6,1,1,40,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.119486000374891,0.225701795024797,0,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,60,6,1,1,40,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.119486000374891,0.225701795024797,22,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,60,6,1,1,40,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.119486000374891,0.225701795024797,20,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
8,60,6,1,1,40,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.119486000374891,0.225701795024797,16,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
16,60,6,1,1,40,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.119486000374891,0.225701795024797,8,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
24,60,6,1,1,40,1,1,4,"list(R_CV=0.46,S_CV=0.087)",0.119486000374891,0.225701795024797,0,17,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
2,20,6,1,1,0,0,1,5,"list(R_CV=0.46,S_CV=0.087)",0.933009664611891,0.0833414730802178,22,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
4,20,6,1,1,0,0,1,5,"list(R_CV=0.46,S_CV=0.087)",0.933009664611891,0.0833414730802178,20,0,20,1,5000,0.6,0.2,0.2,"cmult6ay1aSf1repBatch1",1
